,FA_20240108_2H_yeast_1.11.ser#1,FA_20240108_2H_yeast_1.11.ser#2,FA_20240108_2H_yeast_1.11.ser#3,FA_20240108_2H_yeast_1.11.ser#4,FA_20240108_2H_yeast_1.11.ser#5,FA_20240108_2H_yeast_1.11.ser#6,FA_20240108_2H_yeast_1.11.ser#7,FA_20240108_2H_yeast_1.11.ser#8,FA_20240108_2H_yeast_1.11.ser#9,FA_20240108_2H_yeast_1.11.ser#10,FA_20240108_2H_yeast_1.11.ser#11,FA_20240108_2H_yeast_1.11.ser#12,FA_20240108_2H_yeast_1.11.ser#13,FA_20240108_2H_yeast_1.11.ser#14,FA_20240108_2H_yeast_1.11.ser#15,FA_20240108_2H_yeast_1.11.ser#16,FA_20240108_2H_yeast_1.11.ser#17,FA_20240108_2H_yeast_1.11.ser#18,FA_20240108_2H_yeast_1.11.ser#19,FA_20240108_2H_yeast_1.11.ser#20,FA_20240108_2H_yeast_1.11.ser#21,FA_20240108_2H_yeast_1.11.ser#22,FA_20240108_2H_yeast_1.11.ser#23,FA_20240108_2H_yeast_1.11.ser#24,FA_20240108_2H_yeast_1.11.ser#25,FA_20240108_2H_yeast_1.11.ser#26,FA_20240108_2H_yeast_1.11.ser#27,FA_20240108_2H_yeast_1.11.ser#28,FA_20240108_2H_yeast_1.11.ser#29,FA_20240108_2H_yeast_1.11.ser#30,FA_20240108_2H_yeast_1.11.ser#31,FA_20240108_2H_yeast_1.11.ser#32,FA_20240108_2H_yeast_1.11.ser#33,FA_20240108_2H_yeast_1.11.ser#34,FA_20240108_2H_yeast_1.11.ser#35,FA_20240108_2H_yeast_1.11.ser#36,FA_20240108_2H_yeast_1.11.ser#37,FA_20240108_2H_yeast_1.11.ser#38,FA_20240108_2H_yeast_1.11.ser#39
9.61151,701.001,416.469,439.459,162.038,1419.45,146.085,461.067,-288.948,816.757,415.248,-1260.31,682.770,860.137,1722.23,792.906,103.952,-349.491,-1656.90,1230.35,417.155,-391.487,-1148.10,1283.18,604.473,376.121,123.408,-888.029,1123.88,-597.661,-435.942,-845.866,184.519,456.716,-381.899,-62.9573,840.314,-514.703,-208.468,-29.2746
9.61965,1276.27,495.670,914.279,0.619388,1215.97,-431.620,424.001,-149.256,586.152,366.446,-1031.96,581.827,857.033,1874.61,816.368,284.517,-318.738,-1025.31,935.517,199.081,-614.053,-1152.64,981.158,475.013,-15.1700,302.024,-555.547,1015.35,-376.186,-363.175,-1560.10,302.746,843.552,-368.678,-137.058,384.710,-418.435,-36.4710,15.5500
9.62780,1705.10,591.811,1484.62,-109.017,787.082,-876.398,486.399,92.9090,226.835,410.948,-659.421,571.950,695.230,1971.43,709.378,669.336,-316.381,-536.794,731.266,276.164,-766.864,-902.130,683.356,214.001,-305.235,429.296,-136.161,854.628,3.35420,132.848,-1828.55,249.705,1001.23,-298.407,-278.109,93.6987,-57.9076,231.540,-37.0858
9.63594,1834.07,602.360,1805.61,-180.529,612.815,-933.631,837.356,264.407,109.964,626.380,-630.818,469.480,306.576,1964.34,804.982,1211.71,-152.547,-112.550,571.161,199.457,-809.060,-606.248,430.693,-60.4940,-412.611,638.921,146.458,867.332,177.628,845.589,-1574.39,342.658,996.886,-64.2669,-457.405,-58.5205,45.3768,484.435,-107.406
9.64409,1802.80,560.194,1827.27,-125.087,810.240,-502.182,1108.06,285.233,193.721,1161.20,-949.535,205.496,-103.369,1559.61,1128.10,1538.67,104.389,238.096,326.352,-251.405,-618.302,-539.671,240.192,-167.453,-456.353,668.708,116.233,865.340,-91.4675,1365.60,-1176.36,619.156,867.361,340.810,-346.338,-123.142,-180.802,521.642,-94.4986
9.65224,1694.73,656.525,1600.20,-56.5591,1183.94,-5.47824,904.951,249.657,408.045,1618.86,-1243.70,-51.7965,-264.111,857.239,1283.25,1264.40,346.597,508.044,94.7713,-534.612,-207.636,-539.815,310.219,26.5583,-551.022,423.198,-14.4879,749.508,-395.461,1551.51,-911.491,842.797,632.249,497.905,-206.213,-79.2347,-365.398,319.432,5.59645
9.66038,1569.25,1068.40,960.591,-82.4085,1358.02,290.564,400.894,54.3199,649.393,1737.67,-1465.25,-275.315,-351.445,301.828,1457.19,785.624,540.495,869.570,-41.7502,-233.381,162.225,-163.999,400.848,402.785,-494.897,174.495,-261.584,746.538,-425.600,1485.00,-598.998,777.006,440.587,363.208,-219.253,-159.708,-399.252,84.8232,164.704
9.66853,1401.71,1651.42,146.079,-86.9033,1330.84,490.733,56.7302,-123.883,650.066,1646.54,-1594.65,-434.016,-529.038,32.7825,1580.46,585.145,614.482,1194.44,-14.7973,317.456,474.856,477.219,368.985,904.051,-71.1832,-29.0787,-667.917,557.789,-246.365,1340.11,-349.907,310.388,383.825,226.032,-392.079,-245.056,-288.368,191.625,132.874
9.67667,1098.62,1989.86,-337.881,-4.18847,1356.75,758.341,31.3157,-97.5486,493.765,1481.45,-1517.75,-884.813,-597.481,14.1248,1301.86,724.970,561.569,1121.31,-92.1454,705.752,676.883,811.877,113.875,1521.97,430.631,-153.549,-877.931,122.128,73.8841,1006.92,-318.149,-92.3799,327.000,101.797,-466.483,199.231,-256.498,706.551,-23.7071
9.68482,737.593,1776.28,-544.207,350.911,1370.35,745.196,214.888,-157.898,443.585,1447.72,-1116.50,-1522.24,-423.927,81.8167,826.994,949.802,304.667,924.424,-104.940,841.304,223.423,733.616,-205.515,1866.63,481.636,-28.4771,-850.367,-171.678,179.783,607.098,-423.806,-174.106,120.361,40.1076,-347.605,775.769,-418.844,1299.52,-82.7816
9.69296,427.606,1494.15,-450.546,838.838,1215.77,444.058,304.053,-598.407,450.209,1569.99,-694.322,-1746.74,-84.1788,-70.1744,583.048,1241.55,128.823,920.895,113.363,710.570,-744.270,678.565,-374.567,1551.27,133.562,231.975,-783.878,-398.311,-104.702,337.914,-418.284,1.95604,-314.886,100.479,-278.051,958.494,-634.850,1453.23,-45.8537
9.70111,336.001,1477.76,-66.5256,1290.37,971.491,105.195,119.244,-1143.36,420.251,1731.52,-312.342,-1496.63,183.513,-314.083,490.318,1594.21,143.928,833.642,456.070,605.876,-1528.71,632.636,-281.149,927.169,-258.926,224.441,-626.352,-666.777,-322.402,171.077,-180.617,92.4491,-855.487,176.487,-233.195,846.758,-767.177,1067.62,-154.531
9.70925,276.502,1518.49,42.2388,1396.57,903.130,-222.312,33.6513,-1413.72,316.461,1921.47,163.560,-1163.53,295.378,-581.587,409.349,1639.23,214.267,415.855,862.090,637.855,-1805.90,597.092,-20.0546,544.934,-280.631,5.53877,-210.089,-719.556,-285.791,169.433,194.008,272.033,-1361.45,357.478,-91.8235,736.764,-925.148,531.436,-320.852
9.71740,59.0062,1198.31,-101.476,931.828,1050.26,-635.905,9.70532,-1444.50,368.228,1961.00,420.998,-851.351,249.523,-734.844,433.750,1175.97,365.345,-205.088,894.439,541.578,-1631.83,765.241,323.293,258.455,57.6546,-133.977,265.944,-535.309,-149.665,139.804,517.388,516.816,-1593.81,556.027,26.8637,734.469,-1119.64,293.981,-460.672
9.72554,-155.911,651.637,-217.986,378.126,1090.46,-885.364,-65.4259,-1149.28,233.503,1841.20,519.141,-558.989,538.911,-551.217,571.500,659.220,545.747,-648.204,637.278,231.778,-1040.38,960.011,777.207,33.4377,611.772,-233.749,613.412,-371.257,-44.0238,104.372,683.480,353.226,-1419.12,501.896,-14.1287,749.567,-937.636,397.660,-707.957
9.73369,-207.150,310.184,-265.854,43.9366,712.110,-690.904,-19.1391,-748.388,-121.951,1808.90,603.656,-431.996,1139.83,-431.617,833.317,330.548,713.645,-673.494,352.535,-130.422,-415.628,886.501,1280.56,-17.3542,1022.78,-331.552,717.070,-485.876,-71.6420,110.035,647.235,-130.659,-1019.25,221.507,-103.326,595.002,-410.267,511.823,-929.623
9.74183,-97.6809,252.169,-473.730,-128.213,84.1462,-426.865,239.334,-558.214,-336.577,1762.70,585.183,-531.466,1027.73,-514.743,1016.23,201.309,704.187,-557.341,159.080,-305.247,-32.3245,715.763,1580.98,82.9148,991.496,-382.205,623.837,-814.586,-166.807,335.894,594.330,-788.562,-688.460,-473.180,-128.047,327.770,119.977,348.618,-661.933
9.74998,18.4769,115.578,-589.730,-28.7835,-300.945,-374.198,438.672,-188.795,-293.656,1563.46,549.548,-774.322,280.188,-451.199,769.625,109.275,489.878,-525.124,13.1662,-277.349,6.48356,731.658,1589.48,85.1077,691.040,-87.2176,431.834,-1213.05,-417.334,625.040,552.294,-1563.13,-297.299,-1039.37,-186.055,28.4582,505.380,52.4853,-151.413
9.75812,176.665,-200.194,-463.021,412.554,-328.031,-395.353,363.391,475.117,-244.204,1190.08,634.387,-922.269,-138.026,-342.534,282.020,-18.9181,162.572,-325.487,-37.4126,2.46626,-73.6481,753.757,1337.18,-5.68427,611.186,655.106,349.022,-1696.58,-794.378,653.354,466.411,-2238.44,-27.2638,-1075.36,-451.006,-134.279,964.031,-194.214,81.3746
9.76627,391.203,-463.530,-273.164,1090.51,-157.332,-510.155,83.6201,1007.14,-192.556,844.856,833.648,-833.671,-45.6899,-473.711,-59.5027,-56.7980,-211.289,-271.126,159.039,618.929,-16.6492,210.732,897.231,-225.536,1026.22,1307.43,237.961,-1925.65,-847.314,712.814,172.664,-2464.98,-44.4777,-517.879,-636.200,-138.432,1636.71,-156.258,398.179
9.77441,426.009,-617.349,-234.392,1766.03,65.0469,-712.328,-83.3127,1164.95,-119.745,672.494,1128.26,-477.443,11.9533,-746.513,-349.255,-140.030,-303.641,-204.766,297.789,1083.14,63.0183,-558.578,202.854,-579.112,1538.58,1420.84,17.4536,-1615.79,-587.820,913.105,-391.812,-2152.77,-145.539,-60.8298,-611.201,-64.3330,1981.59,-193.583,748.238
9.78256,632.894,-646.105,-501.507,2094.37,160.833,-686.241,-54.8506,1079.51,-205.903,710.573,1345.63,-50.7409,-234.397,-1177.04,-688.401,-351.109,18.8797,23.1324,292.099,1203.42,170.772,-1032.19,-560.608,-674.433,1627.58,1220.82,-36.0150,-1063.85,-385.672,898.023,-1016.39,-1603.64,97.8007,-105.936,-574.294,-126.748,1679.92,-368.124,645.222
9.79070,1064.70,-648.008,-1095.73,1904.98,181.704,-64.7737,14.0140,909.667,-168.544,909.315,1588.02,249.669,-664.258,-1613.36,-1021.82,-650.878,451.962,123.698,151.416,1305.82,235.121,-1162.06,-958.422,-501.751,1304.29,1113.53,-17.5399,-570.216,-246.507,444.063,-1396.18,-1234.20,524.986,-393.827,-541.354,-139.544,1079.73,-284.905,569.315
9.79885,1267.94,-650.347,-1729.30,1584.01,224.595,656.890,183.597,959.835,17.7933,1108.92,1717.08,251.866,-1003.58,-1807.09,-1169.04,-646.873,675.094,51.3988,-226.021,1407.22,-173.256,-1167.15,-977.219,-463.648,782.203,1142.67,65.7591,-159.370,-128.417,-98.7443,-1348.02,-1066.54,875.432,-789.251,-729.523,30.4219,574.302,-166.139,838.790
