,FA_20240108_2H_yeast_1.7.ser#1,FA_20240108_2H_yeast_1.7.ser#2,FA_20240108_2H_yeast_1.7.ser#3,FA_20240108_2H_yeast_1.7.ser#4,FA_20240108_2H_yeast_1.7.ser#5,FA_20240108_2H_yeast_1.7.ser#6,FA_20240108_2H_yeast_1.7.ser#7,FA_20240108_2H_yeast_1.7.ser#8,FA_20240108_2H_yeast_1.7.ser#9,FA_20240108_2H_yeast_1.7.ser#10,FA_20240108_2H_yeast_1.7.ser#11,FA_20240108_2H_yeast_1.7.ser#12,FA_20240108_2H_yeast_1.7.ser#13,FA_20240108_2H_yeast_1.7.ser#14,FA_20240108_2H_yeast_1.7.ser#15,FA_20240108_2H_yeast_1.7.ser#16,FA_20240108_2H_yeast_1.7.ser#17,FA_20240108_2H_yeast_1.7.ser#18,FA_20240108_2H_yeast_1.7.ser#19,FA_20240108_2H_yeast_1.7.ser#20,FA_20240108_2H_yeast_1.7.ser#21,FA_20240108_2H_yeast_1.7.ser#22,FA_20240108_2H_yeast_1.7.ser#23,FA_20240108_2H_yeast_1.7.ser#24,FA_20240108_2H_yeast_1.7.ser#25,FA_20240108_2H_yeast_1.7.ser#26,FA_20240108_2H_yeast_1.7.ser#27,FA_20240108_2H_yeast_1.7.ser#28,FA_20240108_2H_yeast_1.7.ser#29,FA_20240108_2H_yeast_1.7.ser#30,FA_20240108_2H_yeast_1.7.ser#31,FA_20240108_2H_yeast_1.7.ser#32,FA_20240108_2H_yeast_1.7.ser#33,FA_20240108_2H_yeast_1.7.ser#34,FA_20240108_2H_yeast_1.7.ser#35,FA_20240108_2H_yeast_1.7.ser#36,FA_20240108_2H_yeast_1.7.ser#37,FA_20240108_2H_yeast_1.7.ser#38,FA_20240108_2H_yeast_1.7.ser#39,FA_20240108_2H_yeast_1.7.ser#40
7.22498,983.490,315.293,-962.122,422.776,235.787,-353.644,-44.6973,-64.6218,127.710,94.1852,-432.506,-412.836,325.647,612.605,33.4835,736.158,-299.010,-84.3706,-357.302,-644.566,-223.986,65.5833,10.5144,207.981,-123.729,273.454,-120.485,182.098,206.332,-149.946,-340.421,-38.9516,298.662,-24.6508,10.4524,-6.06348,-103.062,589.376,-126.203,128.839
7.23313,962.736,424.262,-875.898,411.089,273.406,-423.137,-32.6963,25.5452,9.27478,155.436,-436.224,-456.728,328.363,490.600,64.7566,637.921,-287.079,-158.016,-407.911,-564.719,-274.696,10.7113,-1.25085,175.434,-160.751,165.809,-134.549,191.081,138.879,-148.876,-406.820,-36.2464,251.598,-150.027,133.384,-68.7166,-71.5991,544.337,-53.0042,71.2463
7.24127,941.983,533.232,-789.674,399.402,311.024,-492.631,-20.6952,115.712,-109.160,216.686,-439.942,-500.620,331.078,368.595,202.350,539.684,-275.148,-231.662,-458.521,-484.873,-325.406,-44.1606,-13.0161,142.887,-197.773,58.1643,-148.613,200.063,71.4260,-147.806,-473.219,-33.5411,204.534,-275.403,256.316,-131.370,-40.1360,499.297,20.1952,13.6537
7.24942,864.307,589.748,-728.823,359.830,218.409,-492.030,-151.860,183.952,-166.121,212.046,-442.576,-459.227,383.236,272.357,352.984,439.731,-292.592,-309.850,-373.564,-352.793,-373.125,-89.1212,26.8623,97.0388,-174.261,6.35571,-178.811,202.483,-94.2122,-154.955,-428.259,11.5872,133.493,-331.872,305.222,-193.217,11.0989,415.781,70.9724,-47.6302
7.25756,786.631,646.264,-667.972,320.258,125.793,-491.430,-283.025,252.192,-223.082,207.406,-445.209,-417.834,435.393,176.119,439.827,339.778,-310.035,-388.038,-288.608,-220.713,-420.844,-11.3094,66.7407,51.1906,-150.750,-45.4528,-209.010,204.903,-259.850,-162.104,-383.300,56.7155,62.4523,-388.340,354.128,-255.064,62.3339,332.266,121.750,-108.914
7.26571,676.159,702.780,-639.597,228.196,2.21216,-490.830,-336.411,320.432,-186.368,148.771,-418.098,-407.395,487.551,79.8816,452.245,239.824,-211.626,-340.840,-203.651,-184.298,-404.772,102.311,50.2166,37.2657,-158.398,-15.8600,-293.269,175.823,-278.959,-169.253,-320.787,101.844,-8.58887,-411.229,294.495,-190.798,80.5583,386.140,109.679,-116.506
7.27385,565.688,759.296,-611.223,136.135,-121.369,-490.230,-389.798,388.672,-149.655,90.1355,-390.987,-396.956,539.709,-16.3563,464.662,139.871,-113.217,-293.643,-118.695,-147.884,-388.699,215.932,33.6923,23.3409,-166.046,143.975,-377.528,146.743,-298.068,-176.403,-258.274,146.972,-79.6299,-434.118,234.863,-126.533,98.7830,440.015,97.6089,-124.099
7.28200,496.210,759.819,-620.737,-23.8347,-117.861,-405.774,-295.265,396.290,-150.021,22.0511,-346.524,-426.500,523.133,-34.7205,494.357,21.3859,34.5616,-166.655,-123.171,-101.504,-268.965,267.526,79.9160,119.152,-127.603,299.061,-463.139,53.3494,-201.644,-49.9844,-220.994,182.919,-54.1134,-421.329,125.710,-46.5035,35.1691,504.457,173.263,-18.9387
7.29014,426.733,760.342,-630.252,-183.804,-114.354,-321.318,-200.732,403.908,-150.386,-46.0333,-302.062,-456.043,506.558,-53.0846,524.052,-97.0994,182.340,-39.6665,-127.646,-55.1245,-149.230,196.349,126.140,214.964,-89.1613,323.906,-548.749,-40.0438,-105.219,76.4340,-183.715,218.866,-28.5969,-408.540,16.5576,33.5259,-28.4448,568.900,248.917,86.2212
7.29829,357.256,668.187,-607.290,-299.158,-110.846,-267.588,-228.424,298.021,-202.794,-81.7207,-257.599,-537.177,489.983,22.7850,553.747,-17.9091,193.201,87.3215,-101.015,-40.6334,-135.815,122.613,228.766,236.288,-81.8785,267.349,-537.050,-101.937,25.0192,169.974,-146.436,254.813,28.0253,-451.717,-60.0337,79.1609,-92.0587,538.227,293.148,191.381
