,FA_20240124_2H_yeast_1.5.ser#1,FA_20240124_2H_yeast_1.5.ser#2,FA_20240124_2H_yeast_1.5.ser#3,FA_20240124_2H_yeast_1.5.ser#4,FA_20240124_2H_yeast_1.5.ser#5,FA_20240124_2H_yeast_1.5.ser#6,FA_20240124_2H_yeast_1.5.ser#7,FA_20240124_2H_yeast_1.5.ser#8,FA_20240124_2H_yeast_1.5.ser#9,FA_20240124_2H_yeast_1.5.ser#10,FA_20240124_2H_yeast_1.5.ser#11,FA_20240124_2H_yeast_1.5.ser#12,FA_20240124_2H_yeast_1.5.ser#13,FA_20240124_2H_yeast_1.5.ser#14,FA_20240124_2H_yeast_1.5.ser#15,FA_20240124_2H_yeast_1.5.ser#16,FA_20240124_2H_yeast_1.5.ser#17,FA_20240124_2H_yeast_1.5.ser#18,FA_20240124_2H_yeast_1.5.ser#19,FA_20240124_2H_yeast_1.5.ser#20,FA_20240124_2H_yeast_1.5.ser#21,FA_20240124_2H_yeast_1.5.ser#22,FA_20240124_2H_yeast_1.5.ser#23,FA_20240124_2H_yeast_1.5.ser#24,FA_20240124_2H_yeast_1.5.ser#25,FA_20240124_2H_yeast_1.5.ser#26,FA_20240124_2H_yeast_1.5.ser#27,FA_20240124_2H_yeast_1.5.ser#28,FA_20240124_2H_yeast_1.5.ser#29,FA_20240124_2H_yeast_1.5.ser#30,FA_20240124_2H_yeast_1.5.ser#31,FA_20240124_2H_yeast_1.5.ser#32,FA_20240124_2H_yeast_1.5.ser#33,FA_20240124_2H_yeast_1.5.ser#34,FA_20240124_2H_yeast_1.5.ser#35,FA_20240124_2H_yeast_1.5.ser#36,FA_20240124_2H_yeast_1.5.ser#37,FA_20240124_2H_yeast_1.5.ser#38,FA_20240124_2H_yeast_1.5.ser#39,FA_20240124_2H_yeast_1.5.ser#40,FA_20240124_2H_yeast_1.5.ser#41,FA_20240124_2H_yeast_1.5.ser#42,FA_20240124_2H_yeast_1.5.ser#43,FA_20240124_2H_yeast_1.5.ser#44,FA_20240124_2H_yeast_1.5.ser#45,FA_20240124_2H_yeast_1.5.ser#46,FA_20240124_2H_yeast_1.5.ser#47,FA_20240124_2H_yeast_1.5.ser#48,FA_20240124_2H_yeast_1.5.ser#49,FA_20240124_2H_yeast_1.5.ser#50
4.92805,8365.06,6605.48,5872.68,7159.25,5214.76,7415.23,8121.39,7903.12,7878.56,4955.82,6491.73,8052.09,5481.08,7889.00,6061.99,6569.68,6063.32,7318.27,7307.63,6843.74,6955.67,5180.62,6746.22,5110.68,7244.42,4704.16,8342.80,5411.27,8184.62,9491.56,7346.90,7134.35,7741.49,7466.88,8519.62,5697.27,7042.69,6608.86,7533.85,7513.01,7741.95,7121.39,7220.34,8669.75,6166.90,7247.49,7409.14,6596.22,6712.18,6080.81
4.93620,7522.67,7057.81,5984.75,7409.11,5001.86,6840.60,7935.57,7393.39,7462.24,4867.65,5982.17,7412.21,5408.50,7513.12,5650.73,6204.54,6041.20,7179.76,7040.49,6283.35,6324.18,4537.49,6700.51,4771.91,6974.30,4393.43,7844.06,5193.87,7944.39,9191.70,6937.21,6739.93,7410.71,6709.51,8448.04,5252.69,6639.28,6465.76,6678.80,7291.56,7934.13,6886.85,7158.54,8254.17,5779.28,6685.00,6923.92,5845.21,6420.37,5832.26
4.94434,6786.23,7415.54,6142.13,7659.71,4967.81,6209.44,7648.52,6800.88,7038.40,4851.47,5409.49,6590.86,5563.60,7186.56,5360.04,5955.39,5989.35,6982.22,6835.77,5893.56,5918.34,4050.87,6609.47,4630.79,6910.44,4164.62,7408.75,4990.40,7806.54,8899.99,6523.01,6391.13,7163.35,6117.99,8192.29,4781.10,6153.93,6339.99,5824.65,7094.46,8037.90,6622.26,6976.36,7915.27,5392.05,6078.85,6374.37,5190.11,6232.26,5752.81
4.95249,6209.64,7469.22,6106.07,7766.31,4866.81,5668.05,7249.36,6161.86,6632.56,4822.17,4964.19,5798.90,5979.57,6913.01,5252.77,5729.43,5801.32,6591.59,6653.48,5611.67,5679.00,3750.89,6427.55,4637.47,6929.87,3997.22,7056.73,4809.54,7777.33,8763.23,6179.36,6083.61,6804.08,5645.09,7730.85,4409.60,5690.39,6127.16,5041.27,6935.26,8020.47,6354.85,6595.55,7761.30,5033.59,5548.00,5832.11,4681.66,6164.72,5728.10
4.96063,5792.91,7247.59,5831.57,7666.14,4597.35,5218.84,6864.74,5545.78,6200.81,4731.25,4813.06,5175.49,6390.25,6628.03,5307.17,5432.35,5465.92,6047.22,6510.55,5263.97,5487.89,3582.68,6199.91,4673.86,6816.62,3829.06,6738.04,4661.11,7680.00,8612.92,5952.36,5770.55,6356.20,5236.11,7206.38,4126.59,5351.06,5817.32,4439.14,6868.87,7970.48,6050.86,6082.33,7655.90,4802.67,5184.16,5288.93,4409.04,6298.44,5636.70
4.96878,5541.77,6971.92,5365.54,7503.08,4151.79,4908.39,6590.61,5008.33,5751.37,4512.68,4855.76,4780.47,6582.87,6274.51,5448.31,5119.78,5101.88,5599.99,6449.03,4776.82,5273.27,3498.75,5911.29,4569.47,6531.51,3658.73,6379.35,4576.74,7413.19,8171.98,5834.91,5361.82,5883.08,4940.80,6773.83,3885.50,5104.11,5461.10,4046.58,6901.20,7857.13,5736.76,5544.21,7460.97,4717.46,4925.60,4725.21,4358.72,6612.54,5461.14
4.97692,5378.05,6829.26,4766.59,7417.56,3574.40,4785.70,6386.78,4580.48,5379.77,4171.59,4907.65,4613.81,6525.71,5975.50,5574.38,4869.10,4891.54,5369.07,6464.48,4259.89,4909.75,3397.70,5564.47,4299.36,6185.86,3499.57,5966.14,4581.25,7011.01,7521.89,5760.62,4824.24,5421.57,4799.35,6502.07,3679.62,4875.00,5038.81,3815.31,6982.35,7599.62,5437.12,5022.22,7256.36,4741.26,4608.06,4211.05,4458.71,6829.16,5340.65
4.98507,5164.19,6849.05,4173.70,7326.37,3018.28,4719.29,6096.13,4235.30,5114.11,3810.30,4886.45,4600.23,6349.30,5843.00,5525.42,4609.85,4889.25,5206.25,6530.47,3831.56,4382.82,3174.21,5244.85,4025.63,5847.90,3422.33,5486.40,4649.50,6516.15,6926.19,5633.38,4173.76,5026.21,4747.83,6346.23,3530.27,4683.03,4496.88,3759.80,6983.04,7233.23,5178.47,4590.72,7091.33,4834.05,4202.78,3823.84,4694.67,6661.06,5386.80
4.99321,4884.25,6948.33,3730.63,7000.69,2601.09,4548.22,5689.67,3961.47,4853.63,3477.99,4774.84,4631.04,6188.90,5759.84,5339.56,4317.33,4906.51,4902.97,6587.02,3484.68,3890.40,2922.66,5055.29,3912.40,5511.33,3524.86,5016.89,4739.96,5926.01,6412.96,5364.70,3556.72,4709.00,4755.58,6180.26,3360.27,4544.56,3942.11,3852.74,6737.61,6858.01,4992.55,4325.56,6852.24,4967.04,3853.22,3504.99,5075.06,6172.22,5553.80
5.00136,4566.61,6983.04,3443.96,6353.76,2292.87,4287.91,5253.43,3793.81,4502.72,3088.66,4640.04,4671.72,6064.46,5638.67,5208.09,4050.82,4704.01,4423.91,6521.83,3194.91,3561.46,2816.87,5011.57,3903.75,5161.55,3737.21,4668.52,4805.51,5292.42,5914.17,4900.49,3147.74,4490.32,4786.52,5917.19,3117.20,4410.34,3546.71,3909.12,6204.21,6537.12,4881.49,4251.46,6440.21,5119.03,3630.36,3155.53,5528.00,5543.42,5690.24
