2H chemical shift (ppm),FA_20240514_2H_yeast_1.6.ser#1,FA_20240514_2H_yeast_1.6.ser#2,FA_20240514_2H_yeast_1.6.ser#3,FA_20240514_2H_yeast_1.6.ser#4,FA_20240514_2H_yeast_1.6.ser#5,FA_20240514_2H_yeast_1.6.ser#6,FA_20240514_2H_yeast_1.6.ser#7,FA_20240514_2H_yeast_1.6.ser#8,FA_20240514_2H_yeast_1.6.ser#9,FA_20240514_2H_yeast_1.6.ser#10,FA_20240514_2H_yeast_1.6.ser#11,FA_20240514_2H_yeast_1.6.ser#12,FA_20240514_2H_yeast_1.6.ser#13,FA_20240514_2H_yeast_1.6.ser#14,FA_20240514_2H_yeast_1.6.ser#15,FA_20240514_2H_yeast_1.6.ser#16,FA_20240514_2H_yeast_1.6.ser#17,FA_20240514_2H_yeast_1.6.ser#18,FA_20240514_2H_yeast_1.6.ser#19,FA_20240514_2H_yeast_1.6.ser#20,FA_20240514_2H_yeast_1.6.ser#21,FA_20240514_2H_yeast_1.6.ser#22,FA_20240514_2H_yeast_1.6.ser#23,FA_20240514_2H_yeast_1.6.ser#24,FA_20240514_2H_yeast_1.6.ser#25,FA_20240514_2H_yeast_1.6.ser#26,FA_20240514_2H_yeast_1.6.ser#27,FA_20240514_2H_yeast_1.6.ser#28,FA_20240514_2H_yeast_1.6.ser#29,FA_20240514_2H_yeast_1.6.ser#30,FA_20240514_2H_yeast_1.6.ser#31,FA_20240514_2H_yeast_1.6.ser#32,FA_20240514_2H_yeast_1.6.ser#33,FA_20240514_2H_yeast_1.6.ser#34,FA_20240514_2H_yeast_1.6.ser#35,FA_20240514_2H_yeast_1.6.ser#36,FA_20240514_2H_yeast_1.6.ser#37,FA_20240514_2H_yeast_1.6.ser#38,FA_20240514_2H_yeast_1.6.ser#39,FA_20240514_2H_yeast_1.6.ser#40,FA_20240514_2H_yeast_1.6.ser#41,FA_20240514_2H_yeast_1.6.ser#42,FA_20240514_2H_yeast_1.6.ser#43,FA_20240514_2H_yeast_1.6.ser#44,FA_20240514_2H_yeast_1.6.ser#45,FA_20240514_2H_yeast_1.6.ser#46,FA_20240514_2H_yeast_1.6.ser#47,FA_20240514_2H_yeast_1.6.ser#48,FA_20240514_2H_yeast_1.6.ser#49,FA_20240514_2H_yeast_1.6.ser#50
8.4304,29394.2,29058.4,28925.8,26107.4,25944.7,24776.2,24884.9,26247.8,24664.2,26690.3,26766.1,27045.9,27813.8,26910,28451.2,29448.3,30432.9,31111.9,29394.3,31235.7,30270.7,32525.7,31123.6,33094.8,30993,30582.7,34357.9,34950.8,35014.1,34880.5,34668.2,36402.7,36992,35326.6,36009.1,39847.3,36933,37953.4,38038.9,39086.7,42213.2,38572.3,41953.8,40980.4,41385.1,42839.7,42011.1,43625.2,41220,42921.7
8.43854,25820.9,25568.4,26351.5,22597.7,22278,21974.3,21212.3,22248.3,21817,22941.3,22878.7,23114.5,24416,23160.1,25965.5,25420.1,26823.3,27266.3,25670.7,27285.4,26060,28029.9,26822.1,29039.4,27048.1,26021.2,30129.8,30185.5,30892.1,30567.4,30213.6,31087.1,32643.6,31143.3,32179.9,35138.6,32667.1,33659.3,33928.7,34833.8,38148.1,34370.8,38466.8,36176.8,37293.7,38624.3,38582.5,38104.4,36647.4,38583.1
8.44669,22619.9,22268.1,23648.6,19626.7,19627.2,19545.1,18496.9,19132.3,19440.2,19817,19917.7,19910.4,21164,20001.6,24016.7,21814,23187.2,23873,22614.3,23884,22747.5,24305.8,23124.7,25390.8,23849.5,22551.4,26182.6,26616.9,27137.4,26362.3,26402.4,27087.8,28482.1,27574.4,28311.9,30762.3,28524.9,29213.8,30007.1,30599.6,33676.1,30367.6,34391.7,31320.8,33058.2,33612,33904.1,32289.1,31689.6,33749.3
8.45483,19975.3,19235.7,20675.2,17435.9,17545.9,17523.5,16703.7,16939.5,17171.4,17151.3,17934.4,17873,18403.3,17902.4,22181,18715.5,19927.4,21032.2,19910.1,21102.1,20556,21381.3,20320.5,22064.5,21155.1,20112.7,22504.9,23722.6,23757.2,22987.8,23060.8,24063.8,24968.3,24600.5,24832,26918.5,24866.1,25098.9,26133.9,27204.9,29578.1,26826.5,30591.8,27240.8,29546.5,29030,29473.9,27228.2,27106,29369.6
8.46298,17968.7,16674.8,17617.2,15954.6,15831.4,15945,15620.7,15379.2,15576.5,15019.1,16458.1,16402.8,16136,16849,20088.8,16626.3,17464.3,18400.3,17600.4,19369.1,19114.2,19406.5,18595.8,19254.7,18801.4,18551,19448.8,20866.1,20922.4,20375.8,20401.7,21410.2,22004.9,21934,22215.1,23760.7,21659,21687,22320.2,24773.6,25739.5,23769.4,27052.7,23871.6,26310.9,25604.4,26046.2,23180.4,23178.2,25750.3
8.47112,16268.7,14378.1,15438.4,14629.4,14526.2,14290.9,14860.2,14224.4,14553.1,13664,15105.6,15232.8,14265.9,16159,18021.7,15176.6,15846.4,16044.1,15706.7,18050.4,17864.9,18311,17524.7,17128.3,16983.4,17400,17360.9,18269.1,18265.1,18306.3,18388.6,19079.1,19447.6,19442.2,20398,21158.5,19045.5,19023.4,19125.5,22220.2,22341.3,21092.7,24017.7,20896.9,23228.2,23344.9,23171.9,20224.8,19861.5,22728.3
8.47927,14495.3,12313.8,14175,13612.9,13444.6,12427.6,13968.7,13628.3,13450.2,12998.8,13670.7,14272,12778.4,15390.4,16507.1,13921.9,14719.9,14219.1,14073.4,16212.7,16683.7,17540.4,16462.1,15700.4,15978.7,16290.7,15964.1,16139.3,16121.9,16381.8,16478.8,16943.6,17268.4,17770.9,18930.6,19041.4,17126.7,17395.4,16893.5,19132.6,19626.9,19032.8,21828.1,18473.2,20669,21486.8,20590.3,17988,17077.1,20324.7
8.48741,12792.6,10809.1,13260.7,12931,12098.8,11164.7,13210.7,13218.5,12462.3,12688,12107.3,13364.3,11854.8,14868.3,15459.6,13077.1,13817.5,12575.6,12873.2,14425.5,15677.2,16671.6,15357.5,14695.5,14943.9,15393.8,14913.7,14488,14488.8,14771.6,14781.2,14749.5,15910.9,16666,17609.5,17632.1,15830.1,16603.6,15390,16422.5,17280.7,17813.1,19789.3,16603.8,18771.6,19877.6,18388.6,16262.4,14952.6,18352.1
8.49556,11206.9,10350.1,12056.2,12089.8,10848.5,11013.4,12464.3,12160.8,11668.6,12342.4,11019.5,12620.1,11458,14307,14464.3,12494.4,12952.9,11517,12057.7,13398.6,14875.3,15594,13858.8,13562.9,13373.2,14558.5,14541.3,13500.4,12825.1,13678,13449.3,12881.7,15290.4,15305.6,16544.4,16746.5,14797.2,15938.1,14270.6,14373.8,15219.6,17236.8,17552,15162.3,17404.7,18909.3,16582.8,15171.3,13593.2,16811.7
8.5037,9462.32,10382.7,10675.2,11218.7,10216.8,11546.4,11522.2,10877.5,10889.2,11787.7,10229.4,11901.9,11042.9,13449.5,12963.5,11792.6,12245.3,10766.9,11468.5,12703.2,14282.9,14074.3,12047.1,12372.9,11593.2,13697.7,14469.8,12898.4,11807.2,12794.4,12325.3,11874.8,14669.6,13821.6,15944.8,15679.7,13580.6,15018.7,13531.1,12785,13574,16511.5,15465,14283.1,16067.7,18028.5,15068,14480.1,12770.1,15552.1
